params,losses,mean_loss
"{'batch_size': 2048, 'dropout1': 0.221, 'dropout2': 0.331, 'dropout3': 0.014, 'dropout4': 0.046, 'dropout5': 0.496, 'dropout6': 0.238, 'dropout7': 0.464, 'dropout8': 0.045, 'hidden_size1': 32, 'hidden_size2': 1024, 'hidden_size3': 48, 'hidden_size4': 96, 'hidden_size5': 448, 'hidden_size6': 32, 'hidden_size7': 448, 'hidden_size8': 1024, 'learning_rate': 5e-05, 'n_layers': 3, 'num_epochs': 45}","[0.7836852488019661, 0.7824808878990415, 0.7882280705376382]",0.7847980690795486
"{'batch_size': 2560, 'dropout1': 0.291, 'dropout2': 0.424, 'dropout3': 0.233, 'dropout4': 0.231, 'dropout5': 0.068, 'dropout6': 0.087, 'dropout7': 0.067, 'dropout8': 0.148, 'hidden_size1': 512, 'hidden_size2': 96, 'hidden_size3': 256, 'hidden_size4': 64, 'hidden_size5': 48, 'hidden_size6': 448, 'hidden_size7': 64, 'hidden_size8': 512, 'learning_rate': 0.007, 'n_layers': 5, 'num_epochs': 5}","[0.7850552597805944, 0.7824380938521663, 0.7892099486959008]",0.785567767442887
"{'batch_size': 128, 'dropout1': 0.2, 'dropout2': 0.055, 'dropout3': 0.026, 'dropout4': 0.442, 'dropout5': 0.164, 'dropout6': 0.322, 'dropout7': 0.131, 'dropout8': 0.063, 'hidden_size1': 1024, 'hidden_size2': 48, 'hidden_size3': 128, 'hidden_size4': 448, 'hidden_size5': 896, 'hidden_size6': 1024, 'hidden_size7': 128, 'hidden_size8': 256, 'learning_rate': 0.0005, 'n_layers': 6, 'num_epochs': 50}","[0.7497206847338731, 0.7468205124943944, 0.7610693030960266]",0.7525368334414314
"{'batch_size': 512, 'dropout1': 0.334, 'dropout2': 0.39, 'dropout3': 0.06, 'dropout4': 0.004, 'dropout5': 0.204, 'dropout6': 0.192, 'dropout7': 0.127, 'dropout8': 0.026, 'hidden_size1': 128, 'hidden_size2': 1024, 'hidden_size3': 448, 'hidden_size4': 512, 'hidden_size5': 1024, 'hidden_size6': 128, 'hidden_size7': 96, 'hidden_size8': 32, 'learning_rate': 0.002, 'n_layers': 8, 'num_epochs': 35}","[0.7869138977892816, 0.7842511427810881, 0.7885105928712923]",0.786558544480554
"{'batch_size': 10240, 'dropout1': 0.115, 'dropout2': 0.48, 'dropout3': 0.042, 'dropout4': 0.498, 'dropout5': 0.064, 'dropout6': 0.184, 'dropout7': 0.205, 'dropout8': 0.233, 'hidden_size1': 96, 'hidden_size2': 64, 'hidden_size3': 512, 'hidden_size4': 896, 'hidden_size5': 64, 'hidden_size6': 96, 'hidden_size7': 1024, 'hidden_size8': 64, 'learning_rate': 9e-05, 'n_layers': 3, 'num_epochs': 25}","[0.7842359291321732, 0.7811811364999256, 0.7886932363015179]",0.7847034339778722
"{'batch_size': 256, 'dropout1': 0.237, 'dropout2': 0.254, 'dropout3': 0.496, 'dropout4': 0.338, 'dropout5': 0.347, 'dropout6': 0.282, 'dropout7': 0.352, 'dropout8': 0.224, 'hidden_size1': 896, 'hidden_size2': 32, 'hidden_size3': 64, 'hidden_size4': 48, 'hidden_size5': 512, 'hidden_size6': 256, 'hidden_size7': 896, 'hidden_size8': 896, 'learning_rate': 0.004, 'n_layers': 2, 'num_epochs': 30}","[0.7685797984311864, 0.7683261235548915, 0.7720716829933472]",0.7696592016598084
"{'batch_size': 5120, 'dropout1': 0.013, 'dropout2': 0.13, 'dropout3': 0.162, 'dropout4': 0.469, 'dropout5': 0.257, 'dropout6': 0.132, 'dropout7': 0.498, 'dropout8': 0.203, 'hidden_size1': 64, 'hidden_size2': 128, 'hidden_size3': 1024, 'hidden_size4': 32, 'hidden_size5': 96, 'hidden_size6': 512, 'hidden_size7': 512, 'hidden_size8': 96, 'learning_rate': 0.0001, 'n_layers': 6, 'num_epochs': 20}","[0.7863896799317007, 0.7838870724525506, 0.7887146544512228]",0.7863304689451581
"{'batch_size': 1024, 'dropout1': 0.155, 'dropout2': 0.095, 'dropout3': 0.322, 'dropout4': 0.465, 'dropout5': 0.399, 'dropout6': 0.395, 'dropout7': 0.098, 'dropout8': 0.144, 'hidden_size1': 448, 'hidden_size2': 512, 'hidden_size3': 96, 'hidden_size4': 1024, 'hidden_size5': 128, 'hidden_size6': 48, 'hidden_size7': 48, 'hidden_size8': 1024, 'learning_rate': 0.003, 'n_layers': 8, 'num_epochs': 40}","[0.7599441873817693, 0.7616041391836199, 0.758182245219585]",0.7599101905949913
"{'batch_size': 128, 'dropout1': 0.469, 'dropout2': 0.149, 'dropout3': 0.126, 'dropout4': 0.22, 'dropout5': 0.307, 'dropout6': 0.045, 'dropout7': 0.453, 'dropout8': 0.011, 'hidden_size1': 32, 'hidden_size2': 256, 'hidden_size3': 256, 'hidden_size4': 64, 'hidden_size5': 32, 'hidden_size6': 896, 'hidden_size7': 128, 'hidden_size8': 128, 'learning_rate': 0.0006000000000000001, 'n_layers': 7, 'num_epochs': 15}","[0.7739545130337273, 0.7718770573216903, 0.771818287680882]",0.7725499526787666
"{'batch_size': 12800, 'dropout1': 0.174, 'dropout2': 0.346, 'dropout3': 0.414, 'dropout4': 0.139, 'dropout5': 0.334, 'dropout6': 0.178, 'dropout7': 0.188, 'dropout8': 0.272, 'hidden_size1': 48, 'hidden_size2': 96, 'hidden_size3': 32, 'hidden_size4': 128, 'hidden_size5': 256, 'hidden_size6': 64, 'hidden_size7': 32, 'hidden_size8': 448, 'learning_rate': 0.04, 'n_layers': 5, 'num_epochs': 10}","[0.022644911543189362, 0.778553269341344, 0.784868391780273]",0.5286888575549354
"{'batch_size': 2560, 'dropout1': 0.448, 'dropout2': 0.16, 'dropout3': 0.274, 'dropout4': 0.34, 'dropout5': 0.216, 'dropout6': 0.325, 'dropout7': 0.317, 'dropout8': 0.226, 'hidden_size1': 96, 'hidden_size2': 64, 'hidden_size3': 896, 'hidden_size4': 48, 'hidden_size5': 512, 'hidden_size6': 1024, 'hidden_size7': 96, 'hidden_size8': 512, 'learning_rate': 7.000000000000001e-05, 'n_layers': 4, 'num_epochs': 25}","[0.7781545444349829, 0.7770990334495285, 0.7834251780254515]",0.7795595853033209
"{'batch_size': 256, 'dropout1': 0.184, 'dropout2': 0.157, 'dropout3': 0.065, 'dropout4': 0.381, 'dropout5': 0.469, 'dropout6': 0.373, 'dropout7': 0.353, 'dropout8': 0.44, 'hidden_size1': 512, 'hidden_size2': 896, 'hidden_size3': 48, 'hidden_size4': 448, 'hidden_size5': 448, 'hidden_size6': 32, 'hidden_size7': 448, 'hidden_size8': 128, 'learning_rate': 0.0001, 'n_layers': 5, 'num_epochs': 30}","[0.7759016604807043, 0.7717681991718731, 0.7757323464458077]",0.7744674020327951
"{'batch_size': 2048, 'dropout1': 0.231, 'dropout2': 0.396, 'dropout3': 0.066, 'dropout4': 0.204, 'dropout5': 0.477, 'dropout6': 0.383, 'dropout7': 0.169, 'dropout8': 0.097, 'hidden_size1': 1024, 'hidden_size2': 448, 'hidden_size3': 1024, 'hidden_size4': 512, 'hidden_size5': 896, 'hidden_size6': 48, 'hidden_size7': 1024, 'hidden_size8': 256, 'learning_rate': 2e-05, 'n_layers': 6, 'num_epochs': 35}","[0.7861809865043199, 0.7842116693056291, 0.7891734276266258]",0.7865220278121917
"{'batch_size': 10240, 'dropout1': 0.068, 'dropout2': 0.06, 'dropout3': 0.146, 'dropout4': 0.375, 'dropout5': 0.36, 'dropout6': 0.034, 'dropout7': 0.362, 'dropout8': 0.216, 'hidden_size1': 128, 'hidden_size2': 1024, 'hidden_size3': 64, 'hidden_size4': 896, 'hidden_size5': 256, 'hidden_size6': 128, 'hidden_size7': 32, 'hidden_size8': 32, 'learning_rate': 0.001, 'n_layers': 3, 'num_epochs': 45}","[0.7576645610353421, 0.7530317236648396, 0.76339898928598]",0.7580317579953872
"{'batch_size': 2560, 'dropout1': 0.401, 'dropout2': 0.363, 'dropout3': 0.118, 'dropout4': 0.221, 'dropout5': 0.071, 'dropout6': 0.011, 'dropout7': 0.416, 'dropout8': 0.131, 'hidden_size1': 256, 'hidden_size2': 48, 'hidden_size3': 1024, 'hidden_size4': 256, 'hidden_size5': 1024, 'hidden_size6': 896, 'hidden_size7': 256, 'hidden_size8': 64, 'learning_rate': 0.0004, 'n_layers': 5, 'num_epochs': 30}","[0.7862550324284556, 0.7842046180894048, 0.7893713698037925]",0.7866103401072176
"{'batch_size': 4096, 'dropout1': 0.165, 'dropout2': 0.278, 'dropout3': 0.173, 'dropout4': 0.015, 'dropout5': 0.467, 'dropout6': 0.429, 'dropout7': 0.249, 'dropout8': 0.437, 'hidden_size1': 96, 'hidden_size2': 32, 'hidden_size3': 512, 'hidden_size4': 128, 'hidden_size5': 48, 'hidden_size6': 96, 'hidden_size7': 64, 'hidden_size8': 48, 'learning_rate': 0.0007000000000000001, 'n_layers': 4, 'num_epochs': 20}","[0.7873161257275925, 0.7845709955687027, 0.7905541470100937]",0.7874804227687963
"{'batch_size': 512, 'dropout1': 0.066, 'dropout2': 0.264, 'dropout3': 0.036, 'dropout4': 0.373, 'dropout5': 0.037, 'dropout6': 0.085, 'dropout7': 0.037, 'dropout8': 0.209, 'hidden_size1': 96, 'hidden_size2': 32, 'hidden_size3': 512, 'hidden_size4': 128, 'hidden_size5': 48, 'hidden_size6': 512, 'hidden_size7': 64, 'hidden_size8': 896, 'learning_rate': 0.0007000000000000001, 'n_layers': 2, 'num_epochs': 20}","[0.7768859321159398, 0.7736847027913318, 0.7792391914174136]",0.7766032754415617
"{'batch_size': 128, 'dropout1': 0.325, 'dropout2': 0.092, 'dropout3': 0.383, 'dropout4': 0.024, 'dropout5': 0.465, 'dropout6': 0.154, 'dropout7': 0.257, 'dropout8': 0.474, 'hidden_size1': 96, 'hidden_size2': 448, 'hidden_size3': 512, 'hidden_size4': 128, 'hidden_size5': 48, 'hidden_size6': 256, 'hidden_size7': 64, 'hidden_size8': 96, 'learning_rate': 0.0007000000000000001, 'n_layers': 7, 'num_epochs': 20}","[0.7855375040482467, 0.7821481643448768, 0.7877993191431063]",0.7851616625120766
